dataset,model,rmse,rank
california,PyGAM,1.428598,17
california,DT_mini,0.797055,12
california,DT_large,0.784121,10
california,OLS,2.191360,23
california,LassoCV,2.087627,18
california,RidgeCV,2.178053,19
california,RF,0.718275,4
california,GBM,0.650275,2
california,MLP,1.088485,14
california,FIGS_mini,0.754661,8
california,FIGS_large,0.737994,6
california,RuleFit,0.741651,7
california,HSTree_mini,0.795105,11
california,HSTree_large,0.768189,9
california,EBM,0.660017,3
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,13
california,SparseHingeLinear,1.289953,15
california,PiecewiseGAM3Knots_sorted,1.290294,16
california,LinearPlusStumps12,2.184863,20
california,AdaptiveSelector,2.184863,21
california,LinearPlusStumps_examples,2.184863,22
california,BinnedGAM,0.730092,5
abalone,PyGAM,0.705364,4
abalone,DT_mini,0.794185,19
abalone,DT_large,0.797057,20
abalone,OLS,0.721231,11
abalone,LassoCV,0.720338,7
abalone,RidgeCV,0.721876,12
abalone,RF,0.732093,13
abalone,GBM,0.735919,14
abalone,MLP,0.708886,5
abalone,FIGS_mini,0.793158,18
abalone,FIGS_large,0.801452,22
abalone,RuleFit,0.784597,17
abalone,HSTree_mini,0.800492,21
abalone,HSTree_large,0.769955,15
abalone,EBM,0.710895,6
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,23
abalone,SparseHingeLinear,0.697967,2
abalone,PiecewiseGAM3Knots_sorted,0.701458,3
abalone,LinearPlusStumps12,0.721047,8
abalone,AdaptiveSelector,0.721047,9
abalone,LinearPlusStumps_examples,0.721047,10
abalone,BinnedGAM,0.772567,16
cpu_act,PyGAM,0.173718,4
cpu_act,DT_mini,0.253144,14
cpu_act,DT_large,0.226447,9
cpu_act,OLS,0.565065,20
cpu_act,LassoCV,0.742457,22
cpu_act,RidgeCV,0.559656,19
cpu_act,RF,0.199308,6
cpu_act,GBM,0.158850,2
cpu_act,MLP,912.810974,23
cpu_act,FIGS_mini,0.239842,11
cpu_act,FIGS_large,0.199590,7
cpu_act,RuleFit,0.318561,15
cpu_act,HSTree_mini,0.253052,13
cpu_act,HSTree_large,0.224038,8
cpu_act,EBM,0.167552,3
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,12
cpu_act,SparseHingeLinear,0.181160,5
cpu_act,PiecewiseGAM3Knots_sorted,0.235062,10
cpu_act,LinearPlusStumps12,0.511885,16
cpu_act,AdaptiveSelector,0.511885,17
cpu_act,LinearPlusStumps_examples,0.511885,18
cpu_act,BinnedGAM,0.737249,21
house_16H,PyGAM,0.901921,13
house_16H,DT_mini,1.042565,20
house_16H,DT_large,1.003924,17
house_16H,OLS,1.044770,22
house_16H,LassoCV,1.042664,21
house_16H,RidgeCV,0.937416,15
house_16H,RF,0.829627,6
house_16H,GBM,0.840001,7
house_16H,MLP,1.519955,23
house_16H,FIGS_mini,1.034705,19
house_16H,FIGS_large,1.031391,18
house_16H,RuleFit,0.861472,8
house_16H,HSTree_mini,0.916714,14
house_16H,HSTree_large,0.887148,9
house_16H,EBM,0.761079,2
house_16H,TabPFN,0.728232,1
house_16H,DecisionTreeSimple,0.987097,16
house_16H,SparseHingeLinear,0.796878,4
house_16H,PiecewiseGAM3Knots_sorted,0.796851,3
house_16H,LinearPlusStumps12,0.899943,10
house_16H,AdaptiveSelector,0.899943,11
house_16H,LinearPlusStumps_examples,0.899943,12
house_16H,BinnedGAM,0.806723,5
elevators,PyGAM,0.375632,2
elevators,DT_mini,0.743616,17
elevators,DT_large,0.704357,13
elevators,OLS,0.903981,21
elevators,LassoCV,0.904215,22
elevators,RidgeCV,0.876481,20
elevators,RF,0.623118,10
elevators,GBM,0.522039,9
elevators,MLP,0.983679,23
elevators,FIGS_mini,0.748350,18
elevators,FIGS_large,0.676476,11
elevators,RuleFit,0.679608,12
