dataset,model,rmse,rank
california,PyGAM,1.428598,22
california,DT_mini,0.797055,14
california,DT_large,0.784121,11
california,OLS,2.191360,48
california,LassoCV,2.087627,25
california,RidgeCV,2.178053,33
california,RF,0.718275,5
california,GBM,0.650275,2
california,MLP,1.088485,20
california,FIGS_mini,0.754661,8
california,FIGS_large,0.737994,6
california,RuleFit,0.741651,7
california,HSTree_mini,0.795105,13
california,HSTree_large,0.768189,9
california,EBM,0.660017,3
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,17
california,OLSPlain_v1,2.191356,36
california,SparseOLSTop5_v1,2.156221,32
california,HingeLinear_v1,1.818627,23
california,SparseOLSTop8_v1,2.191356,37
california,TopCorrOLS_v1,2.289938,62
california,QuartileGAM_v1,1.291331,21
california,SparseOLSTop3_v1,0.774700,10
california,ThresholdOLS_5pct_v1,2.142848,28
california,ForwardOLS6_v1,2.142848,29
california,LinearResidualTree_v1,2.180401,35
california,ThresholdOLS_1pct_v1,2.191356,38
california,BoostedStumps30_v1,0.804626,15
california,HingeGAM_v1,1.914615,24
california,ElasticNetClean_v1,2.141542,27
california,AdaptiveLinear_v1,2.191356,39
california,SqrtScaleOLS_v1,0.787462,12
california,LassoOLSAll_v1,2.191356,40
california,CenteredOLS_v1,2.191356,41
california,HuberLinear_v1,2.816924,64
california,SquaredOLS_v1,105.883715,65
california,LassoCVClean_v1,2.141271,26
california,OLSHighlight_v1,2.191356,42
california,DTDepth3_v1,0.805382,16
california,LowDimOLS_v1,1.000319,19
california,BayesianRidge_v1,2.192160,50
california,OMPClean_v1,2.192160,51
california,SparseOLSTop10_v1,2.192160,52
california,ElasticNetLow01_v1,2.192160,53
california,TinyDTDepth2_v1,2.192160,54
california,LARSOLS_v1,2.192160,55
california,LARSOLSBIC_v1,2.178697,34
california,TStatOLS_v1,2.211464,56
california,ARDLinear_v1,2.211464,57
california,ClusteredOLS_v1,2.211464,58
california,HingeLinearSmall_v1,2.211464,59
california,LARSPath_v1,2.211464,60
california,RidgeCVClean_v1,2.191701,49
california,HuberClean_v1,2.816919,63
california,BinaryMedianOLS_v1,0.850971,18
california,MinMaxOLS_v1,2.191356,43
california,OLSRanked_v1,2.191356,44
california,WinsorOLS_v1,0.708202,4
california,OLSPlain2_v1,2.191356,45
california,GreedyForwardOLS_v1,2.191356,46
california,GreedyForwardOLS5_v1,2.211464,61
california,GreedyForwardOLS12_v1,2.191356,47
california,GreedyForwardOLS_CV_v1,2.142848,30
california,GreedyForwardOLS6_v1,2.142848,31
abalone,PyGAM,0.705364,5
abalone,DT_mini,0.794185,58
abalone,DT_large,0.797057,59
abalone,OLS,0.721231,26
abalone,LassoCV,0.720338,22
abalone,RidgeCV,0.721876,45
abalone,RF,0.732093,48
abalone,GBM,0.735919,51
abalone,MLP,0.708886,6
abalone,FIGS_mini,0.793158,57
abalone,FIGS_large,0.801452,61
abalone,RuleFit,0.784597,56
abalone,HSTree_mini,0.800492,60
abalone,HSTree_large,0.769955,54
abalone,EBM,0.710895,8
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,62
abalone,OLSPlain_v1,0.721231,27
abalone,SparseOLSTop5_v1,0.720896,25
abalone,HingeLinear_v1,0.710638,7
abalone,SparseOLSTop8_v1,0.721231,28
abalone,TopCorrOLS_v1,0.770287,55
abalone,QuartileGAM_v1,0.695694,3
abalone,SparseOLSTop3_v1,0.768958,53
abalone,ThresholdOLS_5pct_v1,0.720315,13
abalone,ForwardOLS6_v1,0.719986,10
abalone,LinearResidualTree_v1,0.721333,43
abalone,ThresholdOLS_1pct_v1,0.720315,14
abalone,BoostedStumps30_v1,0.836127,64
abalone,HingeGAM_v1,0.711315,9
abalone,ElasticNetClean_v1,0.720329,15
abalone,AdaptiveLinear_v1,0.721231,29
abalone,SqrtScaleOLS_v1,0.702967,4
abalone,LassoOLSAll_v1,0.721231,30
abalone,CenteredOLS_v1,0.721231,31
abalone,HuberLinear_v1,0.732578,50
abalone,SquaredOLS_v1,0.695306,2
abalone,LassoCVClean_v1,0.720417,23
abalone,OLSHighlight_v1,0.721231,32
abalone,DTDepth3_v1,0.812626,63
abalone,LowDimOLS_v1,0.737434,52
abalone,BayesianRidge_v1,0.720333,16
abalone,OMPClean_v1,0.720333,17
abalone,SparseOLSTop10_v1,0.720333,18
abalone,ElasticNetLow01_v1,0.720333,19
abalone,TinyDTDepth2_v1,0.720333,20
abalone,LARSOLS_v1,0.720333,21
abalone,LARSOLSBIC_v1,0.721231,33
abalone,TStatOLS_v1,0.721301,39
abalone,ARDLinear_v1,0.721301,40
